"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"30.09.2023 02:00 - 30.09.2023 03:00","24240","24388"
"30.09.2023 03:00 - 30.09.2023 04:00","23857","23866"
"30.09.2023 04:00 - 30.09.2023 05:00","23612","23770"
"30.09.2023 05:00 - 30.09.2023 06:00","24246","24102"
"30.09.2023 06:00 - 30.09.2023 07:00","25979","25822"
"30.09.2023 07:00 - 30.09.2023 08:00","27989","27447"
"30.09.2023 08:00 - 30.09.2023 09:00","30241","29908"
"30.09.2023 09:00 - 30.09.2023 10:00","31421","31289"
"30.09.2023 10:00 - 30.09.2023 11:00","30912","31301"
"30.09.2023 11:00 - 30.09.2023 12:00","29874","30031"
"30.09.2023 12:00 - 30.09.2023 13:00","28440","28791"
"30.09.2023 13:00 - 30.09.2023 14:00","27727","27609"
"30.09.2023 14:00 - 30.09.2023 15:00","27384","27661"
"30.09.2023 15:00 - 30.09.2023 16:00","27787","27823"
"30.09.2023 16:00 - 30.09.2023 17:00","28532","28935"
"30.09.2023 17:00 - 30.09.2023 18:00","29281","29807"
"30.09.2023 18:00 - 30.09.2023 19:00","30387","30557"
"30.09.2023 19:00 - 30.09.2023 20:00","32555","32868"
"30.09.2023 20:00 - 30.09.2023 21:00","31513","31354"
"30.09.2023 21:00 - 30.09.2023 22:00","29205","29021"
"30.09.2023 22:00 - 30.09.2023 23:00","27270","26921"
"30.09.2023 23:00 - 01.10.2023 00:00","25528","25319"
"01.10.2023 00:00 - 01.10.2023 01:00","23522","23644"
"01.10.2023 01:00 - 01.10.2023 02:00","22168","22419"
"01.10.2023 02:00 - 01.10.2023 03:00","21453","21511"
"01.10.2023 03:00 - 01.10.2023 04:00","20960","20976"
"01.10.2023 04:00 - 01.10.2023 05:00","20810","20897"
"01.10.2023 05:00 - 01.10.2023 06:00","21063","21341"
"01.10.2023 06:00 - 01.10.2023 07:00","21749","22153"
"01.10.2023 07:00 - 01.10.2023 08:00","22160","22726"
"01.10.2023 08:00 - 01.10.2023 09:00","23875","24642"
"01.10.2023 09:00 - 01.10.2023 10:00","25674","26345"
"01.10.2023 10:00 - 01.10.2023 11:00","26255","26479"
"01.10.2023 11:00 - 01.10.2023 12:00","26208","26306"
"01.10.2023 12:00 - 01.10.2023 13:00","25898","25917"
"01.10.2023 13:00 - 01.10.2023 14:00","24765","24613"
"01.10.2023 14:00 - 01.10.2023 15:00","24570","24305"
"01.10.2023 15:00 - 01.10.2023 16:00","24805","24874"
"01.10.2023 16:00 - 01.10.2023 17:00","25312","25915"
"01.10.2023 17:00 - 01.10.2023 18:00","25965","26574"
"01.10.2023 18:00 - 01.10.2023 19:00","27173","27942"
"01.10.2023 19:00 - 01.10.2023 20:00","29655","30658"
"01.10.2023 20:00 - 01.10.2023 21:00","29426","29924"
"01.10.2023 21:00 - 01.10.2023 22:00","27968","28344"
"01.10.2023 22:00 - 01.10.2023 23:00","26233","26236"
"01.10.2023 23:00 - 02.10.2023 00:00","24287","24166"
"02.10.2023 00:00 - 02.10.2023 01:00","21991","22378"
"02.10.2023 01:00 - 02.10.2023 02:00","21105","21224"
"02.10.2023 02:00 - 02.10.2023 03:00","20389","20770"
"02.10.2023 03:00 - 02.10.2023 04:00","20199","20625"
"02.10.2023 04:00 - 02.10.2023 05:00","20750","20884"
"02.10.2023 05:00 - 02.10.2023 06:00","22821","22900"
"02.10.2023 06:00 - 02.10.2023 07:00","27795","28100"
"02.10.2023 07:00 - 02.10.2023 08:00","32318","32968"
"02.10.2023 08:00 - 02.10.2023 09:00","36779","37013"
"02.10.2023 09:00 - 02.10.2023 10:00","38311","38377"
"02.10.2023 10:00 - 02.10.2023 11:00","38403","37988"
"02.10.2023 11:00 - 02.10.2023 12:00","37444","37104"
"02.10.2023 12:00 - 02.10.2023 13:00","35069","35063"
"02.10.2023 13:00 - 02.10.2023 14:00","34234","35107"
"02.10.2023 14:00 - 02.10.2023 15:00","35234","36393"
"02.10.2023 15:00 - 02.10.2023 16:00","36636","37587"
"02.10.2023 16:00 - 02.10.2023 17:00","37114","38265"
"02.10.2023 17:00 - 02.10.2023 18:00","36100","37719"
"02.10.2023 18:00 - 02.10.2023 19:00","35929","37090"
"02.10.2023 19:00 - 02.10.2023 20:00","37760","38894"
"02.10.2023 20:00 - 02.10.2023 21:00","36326","37104"
"02.10.2023 21:00 - 02.10.2023 22:00","33845","34162"
"02.10.2023 22:00 - 02.10.2023 23:00","30762","30659"
"02.10.2023 23:00 - 03.10.2023 00:00","28306","28305"
"03.10.2023 00:00 - 03.10.2023 01:00","26491","26300"
"03.10.2023 01:00 - 03.10.2023 02:00","25072","24968"
"03.10.2023 02:00 - 03.10.2023 03:00","24405","24194"
"03.10.2023 03:00 - 03.10.2023 04:00","24106","24034"
"03.10.2023 04:00 - 03.10.2023 05:00","24318","24204"
"03.10.2023 05:00 - 03.10.2023 06:00","25716","25628"
"03.10.2023 06:00 - 03.10.2023 07:00","30186","30313"
"03.10.2023 07:00 - 03.10.2023 08:00","34772","34663"
"03.10.2023 08:00 - 03.10.2023 09:00","37743","37885"
"03.10.2023 09:00 - 03.10.2023 10:00","38813","39376"
"03.10.2023 10:00 - 03.10.2023 11:00","38636","38580"
"03.10.2023 11:00 - 03.10.2023 12:00","38203","37924"
"03.10.2023 12:00 - 03.10.2023 13:00","36630","36071"
"03.10.2023 13:00 - 03.10.2023 14:00","36486","35807"
"03.10.2023 14:00 - 03.10.2023 15:00","37431","37083"
"03.10.2023 15:00 - 03.10.2023 16:00","38058","38238"
"03.10.2023 16:00 - 03.10.2023 17:00","38483","38862"
"03.10.2023 17:00 - 03.10.2023 18:00","38110","37866"
"03.10.2023 18:00 - 03.10.2023 19:00","37922","37480"
"03.10.2023 19:00 - 03.10.2023 20:00","39068","39639"
"03.10.2023 20:00 - 03.10.2023 21:00","37723","37573"
"03.10.2023 21:00 - 03.10.2023 22:00","34895","34443"
"03.10.2023 22:00 - 03.10.2023 23:00","31406","31152"
"03.10.2023 23:00 - 04.10.2023 00:00","28790","28408"
"04.10.2023 00:00 - 04.10.2023 01:00","26562","26314"
"04.10.2023 01:00 - 04.10.2023 02:00","25227","25197"
"04.10.2023 02:00 - 04.10.2023 03:00","24347","24369"
"04.10.2023 03:00 - 04.10.2023 04:00","24261","24159"
"04.10.2023 04:00 - 04.10.2023 05:00","24355","24258"
"04.10.2023 05:00 - 04.10.2023 06:00","25711","25875"
"04.10.2023 06:00 - 04.10.2023 07:00","30336","30446"
"04.10.2023 07:00 - 04.10.2023 08:00","34850","34738"
"04.10.2023 08:00 - 04.10.2023 09:00","37750","38550"
"04.10.2023 09:00 - 04.10.2023 10:00","39327","40366"
"04.10.2023 10:00 - 04.10.2023 11:00","38534","40125"
"04.10.2023 11:00 - 04.10.2023 12:00","37795","39181"
"04.10.2023 12:00 - 04.10.2023 13:00","35872","36695"
"04.10.2023 13:00 - 04.10.2023 14:00","35795","36564"
"04.10.2023 14:00 - 04.10.2023 15:00","36796","37213"
"04.10.2023 15:00 - 04.10.2023 16:00","38103","38375"
"04.10.2023 16:00 - 04.10.2023 17:00","39015","39039"
"04.10.2023 17:00 - 04.10.2023 18:00","38392","37899"
"04.10.2023 18:00 - 04.10.2023 19:00","36657","37747"
"04.10.2023 19:00 - 04.10.2023 20:00","39097","39583"
"04.10.2023 20:00 - 04.10.2023 21:00","37468","37576"
"04.10.2023 21:00 - 04.10.2023 22:00","34627","34611"
"04.10.2023 22:00 - 04.10.2023 23:00","31279","31205"
"04.10.2023 23:00 - 05.10.2023 00:00","28721","28660"
"05.10.2023 00:00 - 05.10.2023 01:00","26599","26620"
"05.10.2023 01:00 - 05.10.2023 02:00","25407","25398"
"05.10.2023 02:00 - 05.10.2023 03:00","24570","24668"
"05.10.2023 03:00 - 05.10.2023 04:00","24324","24469"
"05.10.2023 04:00 - 05.10.2023 05:00","24348","24708"
"05.10.2023 05:00 - 05.10.2023 06:00","25618","26200"
"05.10.2023 06:00 - 05.10.2023 07:00","30453","30691"
"05.10.2023 07:00 - 05.10.2023 08:00","34999","35143"
"05.10.2023 08:00 - 05.10.2023 09:00","38217","38867"
"05.10.2023 09:00 - 05.10.2023 10:00","39485","39594"
"05.10.2023 10:00 - 05.10.2023 11:00","38995","38732"
"05.10.2023 11:00 - 05.10.2023 12:00","38375","37737"
"05.10.2023 12:00 - 05.10.2023 13:00","36442","35565"
"05.10.2023 13:00 - 05.10.2023 14:00","36397","35201"
"05.10.2023 14:00 - 05.10.2023 15:00","37188","36292"
"05.10.2023 15:00 - 05.10.2023 16:00","38086","37523"
"05.10.2023 16:00 - 05.10.2023 17:00","38613","38186"
"05.10.2023 17:00 - 05.10.2023 18:00","38060","37407"
"05.10.2023 18:00 - 05.10.2023 19:00","37802","37720"
"05.10.2023 19:00 - 05.10.2023 20:00","39358","39613"
"05.10.2023 20:00 - 05.10.2023 21:00","37815","37402"
"05.10.2023 21:00 - 05.10.2023 22:00","34888","34453"
"05.10.2023 22:00 - 05.10.2023 23:00","31472","31099"
"05.10.2023 23:00 - 06.10.2023 00:00","28697","28501"
"06.10.2023 00:00 - 06.10.2023 01:00","26876","26308"
"06.10.2023 01:00 - 06.10.2023 02:00","25563","24844"
"06.10.2023 02:00 - 06.10.2023 03:00","24833","24247"
"06.10.2023 03:00 - 06.10.2023 04:00","24605","23963"
"06.10.2023 04:00 - 06.10.2023 05:00","24898","24008"
"06.10.2023 05:00 - 06.10.2023 06:00","26251","25459"
"06.10.2023 06:00 - 06.10.2023 07:00","30363","30288"
"06.10.2023 07:00 - 06.10.2023 08:00","35093","34801"
"06.10.2023 08:00 - 06.10.2023 09:00","38646","38211"
"06.10.2023 09:00 - 06.10.2023 10:00","39514","39598"
"06.10.2023 10:00 - 06.10.2023 11:00","38825","39018"
"06.10.2023 11:00 - 06.10.2023 12:00","37702","38182"
"06.10.2023 12:00 - 06.10.2023 13:00","35580","36018"
"06.10.2023 13:00 - 06.10.2023 14:00","35539","35652"
"06.10.2023 14:00 - 06.10.2023 15:00","36451","36669"
"06.10.2023 15:00 - 06.10.2023 16:00","37392","37547"
"06.10.2023 16:00 - 06.10.2023 17:00","37958","37945"
"06.10.2023 17:00 - 06.10.2023 18:00","37414","37048"
"06.10.2023 18:00 - 06.10.2023 19:00","37578","36944"
"06.10.2023 19:00 - 06.10.2023 20:00","39303","38737"
"06.10.2023 20:00 - 06.10.2023 21:00","37941","36477"
"06.10.2023 21:00 - 06.10.2023 22:00","34983","33451"
"06.10.2023 22:00 - 06.10.2023 23:00","31718","30416"
"06.10.2023 23:00 - 07.10.2023 00:00","29224","28047"
"07.10.2023 00:00 - 07.10.2023 01:00","26380","25936"
"07.10.2023 01:00 - 07.10.2023 02:00","24833","24594"
"07.10.2023 02:00 - 07.10.2023 03:00","23886","23686"
"07.10.2023 03:00 - 07.10.2023 04:00","23367","23199"
"07.10.2023 04:00 - 07.10.2023 05:00","23069","23070"
"07.10.2023 05:00 - 07.10.2023 06:00","23518","23526"
"07.10.2023 06:00 - 07.10.2023 07:00","25767","25551"
"07.10.2023 07:00 - 07.10.2023 08:00","27706","27440"
"07.10.2023 08:00 - 07.10.2023 09:00","29774","29757"
"07.10.2023 09:00 - 07.10.2023 10:00","31068","31119"
"07.10.2023 10:00 - 07.10.2023 11:00","30761","30522"
"07.10.2023 11:00 - 07.10.2023 12:00","29600","29407"
"07.10.2023 12:00 - 07.10.2023 13:00","27995","28248"
"07.10.2023 13:00 - 07.10.2023 14:00","26768","27183"
"07.10.2023 14:00 - 07.10.2023 15:00","26791","26986"
"07.10.2023 15:00 - 07.10.2023 16:00","27251","27206"
"07.10.2023 16:00 - 07.10.2023 17:00","28013","27945"
"07.10.2023 17:00 - 07.10.2023 18:00","28704","28819"
"07.10.2023 18:00 - 07.10.2023 19:00","30425","30257"
"07.10.2023 19:00 - 07.10.2023 20:00","32877","32675"
"07.10.2023 20:00 - 07.10.2023 21:00","31440","31035"
"07.10.2023 21:00 - 07.10.2023 22:00","28892","28595"
"07.10.2023 22:00 - 07.10.2023 23:00","26860","26648"
"07.10.2023 23:00 - 08.10.2023 00:00","24868","24894"
"08.10.2023 00:00 - 08.10.2023 01:00","23054","23118"
"08.10.2023 01:00 - 08.10.2023 02:00","21658","21752"
"08.10.2023 02:00 - 08.10.2023 03:00","20846","20915"
"08.10.2023 03:00 - 08.10.2023 04:00","20358","20535"
"08.10.2023 04:00 - 08.10.2023 05:00","20473","20275"
"08.10.2023 05:00 - 08.10.2023 06:00","20875","20452"
"08.10.2023 06:00 - 08.10.2023 07:00","21653","21366"
"08.10.2023 07:00 - 08.10.2023 08:00","22331","22200"
"08.10.2023 08:00 - 08.10.2023 09:00","23920","24087"
"08.10.2023 09:00 - 08.10.2023 10:00","25600","25849"
"08.10.2023 10:00 - 08.10.2023 11:00","25931","26136"
"08.10.2023 11:00 - 08.10.2023 12:00","25875","25735"
"08.10.2023 12:00 - 08.10.2023 13:00","25450","25810"
"08.10.2023 13:00 - 08.10.2023 14:00","24651","24626"
"08.10.2023 14:00 - 08.10.2023 15:00","24659","24347"
"08.10.2023 15:00 - 08.10.2023 16:00","24897","24921"
"08.10.2023 16:00 - 08.10.2023 17:00","25431","25722"
"08.10.2023 17:00 - 08.10.2023 18:00","26651","26430"
"08.10.2023 18:00 - 08.10.2023 19:00","27985","28072"
"08.10.2023 19:00 - 08.10.2023 20:00","30793","30927"
"08.10.2023 20:00 - 08.10.2023 21:00","30323","29925"
"08.10.2023 21:00 - 08.10.2023 22:00","28641","28085"
"08.10.2023 22:00 - 08.10.2023 23:00","26448","26159"
"08.10.2023 23:00 - 09.10.2023 00:00","24567","24087"
"09.10.2023 00:00 - 09.10.2023 01:00","22783","22355"
"09.10.2023 01:00 - 09.10.2023 02:00","21727","21398"
"09.10.2023 02:00 - 09.10.2023 03:00","21207","20975"
"09.10.2023 03:00 - 09.10.2023 04:00","20751","20688"
"09.10.2023 04:00 - 09.10.2023 05:00","20633","21254"
"09.10.2023 05:00 - 09.10.2023 06:00","22595","22842"
"09.10.2023 06:00 - 09.10.2023 07:00","28122","28145"
"09.10.2023 07:00 - 09.10.2023 08:00","33232","32823"
"09.10.2023 08:00 - 09.10.2023 09:00","37093","36971"
"09.10.2023 09:00 - 09.10.2023 10:00","38757","38400"
"09.10.2023 10:00 - 09.10.2023 11:00","38256","37890"
"09.10.2023 11:00 - 09.10.2023 12:00","37703","37243"
"09.10.2023 12:00 - 09.10.2023 13:00","35223","35425"
"09.10.2023 13:00 - 09.10.2023 14:00","35200","35538"
"09.10.2023 14:00 - 09.10.2023 15:00","36344","36761"
"09.10.2023 15:00 - 09.10.2023 16:00","37524","37950"
"09.10.2023 16:00 - 09.10.2023 17:00","37955","38627"
"09.10.2023 17:00 - 09.10.2023 18:00","37080","37452"
"09.10.2023 18:00 - 09.10.2023 19:00","37026","37077"
"09.10.2023 19:00 - 09.10.2023 20:00","38845","38839"
"09.10.2023 20:00 - 09.10.2023 21:00","36605","36709"
"09.10.2023 21:00 - 09.10.2023 22:00","33612","33854"
"09.10.2023 22:00 - 09.10.2023 23:00","30248","30662"
"09.10.2023 23:00 - 10.10.2023 00:00","27631","28219"
"10.10.2023 00:00 - 10.10.2023 01:00","26877","26209"
"10.10.2023 01:00 - 10.10.2023 02:00","25560","24894"
"10.10.2023 02:00 - 10.10.2023 03:00","24846","24096"
"10.10.2023 03:00 - 10.10.2023 04:00","24499","23842"
"10.10.2023 04:00 - 10.10.2023 05:00","24498","24039"
"10.10.2023 05:00 - 10.10.2023 06:00","25625","25579"
"10.10.2023 06:00 - 10.10.2023 07:00","30282","30049"
"10.10.2023 07:00 - 10.10.2023 08:00","34631","34605"
"10.10.2023 08:00 - 10.10.2023 09:00","38327","38231"
"10.10.2023 09:00 - 10.10.2023 10:00","39361","39284"
"10.10.2023 10:00 - 10.10.2023 11:00","38966","38786"
"10.10.2023 11:00 - 10.10.2023 12:00","38005","38080"
"10.10.2023 12:00 - 10.10.2023 13:00","35988","36506"
"10.10.2023 13:00 - 10.10.2023 14:00","36025","36650"
"10.10.2023 14:00 - 10.10.2023 15:00","37384","37618"
"10.10.2023 15:00 - 10.10.2023 16:00","38610","38820"
"10.10.2023 16:00 - 10.10.2023 17:00","38939","39287"
"10.10.2023 17:00 - 10.10.2023 18:00","38009","38111"
"10.10.2023 18:00 - 10.10.2023 19:00","37690","38435"
"10.10.2023 19:00 - 10.10.2023 20:00","39132","40291"
"10.10.2023 20:00 - 10.10.2023 21:00","37286","37886"
"10.10.2023 21:00 - 10.10.2023 22:00","34399","34819"
"10.10.2023 22:00 - 10.10.2023 23:00","31061","31665"
"10.10.2023 23:00 - 11.10.2023 00:00","28293","29005"
"11.10.2023 00:00 - 11.10.2023 01:00","26604","26815"
"11.10.2023 01:00 - 11.10.2023 02:00","25418","25519"
"11.10.2023 02:00 - 11.10.2023 03:00","24751","24906"
"11.10.2023 03:00 - 11.10.2023 04:00","24439","24624"
"11.10.2023 04:00 - 11.10.2023 05:00","24785","24872"
"11.10.2023 05:00 - 11.10.2023 06:00","26184","26351"
"11.10.2023 06:00 - 11.10.2023 07:00","30131","30883"
"11.10.2023 07:00 - 11.10.2023 08:00","34770","35580"
"11.10.2023 08:00 - 11.10.2023 09:00","38466","38865"
"11.10.2023 09:00 - 11.10.2023 10:00","39983","39985"
"11.10.2023 10:00 - 11.10.2023 11:00","39460","39397"
"11.10.2023 11:00 - 11.10.2023 12:00","38815","38762"
"11.10.2023 12:00 - 11.10.2023 13:00","36681","36220"
"11.10.2023 13:00 - 11.10.2023 14:00","36570","35828"
"11.10.2023 14:00 - 11.10.2023 15:00","37392","37438"
"11.10.2023 15:00 - 11.10.2023 16:00","38611","38615"
"11.10.2023 16:00 - 11.10.2023 17:00","39058","38637"
"11.10.2023 17:00 - 11.10.2023 18:00","38323","37964"
"11.10.2023 18:00 - 11.10.2023 19:00","37557","38412"
"11.10.2023 19:00 - 11.10.2023 20:00","39304","40103"
"11.10.2023 20:00 - 11.10.2023 21:00","37351","37771"
"11.10.2023 21:00 - 11.10.2023 22:00","34666","34915"
"11.10.2023 22:00 - 11.10.2023 23:00","31464","31675"
"11.10.2023 23:00 - 12.10.2023 00:00","28838","29172"
"12.10.2023 00:00 - 12.10.2023 01:00","27029","26995"
"12.10.2023 01:00 - 12.10.2023 02:00","25655","25588"
"12.10.2023 02:00 - 12.10.2023 03:00","25092","24676"
"12.10.2023 03:00 - 12.10.2023 04:00","24790","24438"
"12.10.2023 04:00 - 12.10.2023 05:00","24972","24619"
"12.10.2023 05:00 - 12.10.2023 06:00","26373","26090"
"12.10.2023 06:00 - 12.10.2023 07:00","30878","30891"
"12.10.2023 07:00 - 12.10.2023 08:00","35563","35388"
"12.10.2023 08:00 - 12.10.2023 09:00","38882","38666"
"12.10.2023 09:00 - 12.10.2023 10:00","39925","39599"
"12.10.2023 10:00 - 12.10.2023 11:00","38961","38902"
"12.10.2023 11:00 - 12.10.2023 12:00","38194","38224"
"12.10.2023 12:00 - 12.10.2023 13:00","36443","36507"
"12.10.2023 13:00 - 12.10.2023 14:00","36137","36222"
"12.10.2023 14:00 - 12.10.2023 15:00","37458","37325"
"12.10.2023 15:00 - 12.10.2023 16:00","38570","38501"
"12.10.2023 16:00 - 12.10.2023 17:00","38876","38916"
"12.10.2023 17:00 - 12.10.2023 18:00","38392","37960"
"12.10.2023 18:00 - 12.10.2023 19:00","38173","38097"
"12.10.2023 19:00 - 12.10.2023 20:00","40198","39754"
"12.10.2023 20:00 - 12.10.2023 21:00","37986","37540"
"12.10.2023 21:00 - 12.10.2023 22:00","34995","34642"
"12.10.2023 22:00 - 12.10.2023 23:00","31852","31295"
"12.10.2023 23:00 - 13.10.2023 00:00","29161","28825"
"13.10.2023 00:00 - 13.10.2023 01:00","27011","26696"
"13.10.2023 01:00 - 13.10.2023 02:00","25464","25292"
"13.10.2023 02:00 - 13.10.2023 03:00","24699","24648"
"13.10.2023 03:00 - 13.10.2023 04:00","24466","24345"
"13.10.2023 04:00 - 13.10.2023 05:00","24542","24357"
"13.10.2023 05:00 - 13.10.2023 06:00","25844","25828"
"13.10.2023 06:00 - 13.10.2023 07:00","30538","30562"
"13.10.2023 07:00 - 13.10.2023 08:00","35135","35465"
"13.10.2023 08:00 - 13.10.2023 09:00","38225","39085"
"13.10.2023 09:00 - 13.10.2023 10:00","39900","40635"
"13.10.2023 10:00 - 13.10.2023 11:00","39280","40088"
"13.10.2023 11:00 - 13.10.2023 12:00","38575","39018"
"13.10.2023 12:00 - 13.10.2023 13:00","36304","36924"
"13.10.2023 13:00 - 13.10.2023 14:00","35802","36741"
"13.10.2023 14:00 - 13.10.2023 15:00","36991","37703"
"13.10.2023 15:00 - 13.10.2023 16:00","37826","38341"
"13.10.2023 16:00 - 13.10.2023 17:00","38162","38603"
"13.10.2023 17:00 - 13.10.2023 18:00","37360","37493"
"13.10.2023 18:00 - 13.10.2023 19:00","37312","37728"
"13.10.2023 19:00 - 13.10.2023 20:00","39300","39102"
"13.10.2023 20:00 - 13.10.2023 21:00","37123","36617"
"13.10.2023 21:00 - 13.10.2023 22:00","34271","33908"
"13.10.2023 22:00 - 13.10.2023 23:00","31248","30854"
"13.10.2023 23:00 - 14.10.2023 00:00","28893","28400"
"14.10.2023 00:00 - 14.10.2023 01:00","26722","26369"
"14.10.2023 01:00 - 14.10.2023 02:00","25201","24975"
"14.10.2023 02:00 - 14.10.2023 03:00","24293","24089"
"14.10.2023 03:00 - 14.10.2023 04:00","23819","23435"
"14.10.2023 04:00 - 14.10.2023 05:00","23627","23389"
"14.10.2023 05:00 - 14.10.2023 06:00","24057","23865"
"14.10.2023 06:00 - 14.10.2023 07:00","25940","25743"
"14.10.2023 07:00 - 14.10.2023 08:00","28189","27682"
"14.10.2023 08:00 - 14.10.2023 09:00","30273","29787"
"14.10.2023 09:00 - 14.10.2023 10:00","31694","31439"
"14.10.2023 10:00 - 14.10.2023 11:00","31312","30950"
"14.10.2023 11:00 - 14.10.2023 12:00","30275","30136"
"14.10.2023 12:00 - 14.10.2023 13:00","28917","28799"
"14.10.2023 13:00 - 14.10.2023 14:00","27858","27304"
"14.10.2023 14:00 - 14.10.2023 15:00","27406","27756"
"14.10.2023 15:00 - 14.10.2023 16:00","27653","28091"
"14.10.2023 16:00 - 14.10.2023 17:00","28275","28540"
"14.10.2023 17:00 - 14.10.2023 18:00","29199","29344"
"14.10.2023 18:00 - 14.10.2023 19:00","30846","30881"
"14.10.2023 19:00 - 14.10.2023 20:00","32976","33105"
"14.10.2023 20:00 - 14.10.2023 21:00","31530","31071"
"14.10.2023 21:00 - 14.10.2023 22:00","29258","28871"
"14.10.2023 22:00 - 14.10.2023 23:00","27143","26913"
"14.10.2023 23:00 - 15.10.2023 00:00","25326","25125"
"15.10.2023 00:00 - 15.10.2023 01:00","23479","23538"
"15.10.2023 01:00 - 15.10.2023 02:00","22062","22111"
"15.10.2023 02:00 - 15.10.2023 03:00","21243","21343"
"15.10.2023 03:00 - 15.10.2023 04:00","20734","20892"
"15.10.2023 04:00 - 15.10.2023 05:00","20601","20814"
"15.10.2023 05:00 - 15.10.2023 06:00","20903","21052"
"15.10.2023 06:00 - 15.10.2023 07:00","21720","22091"
"15.10.2023 07:00 - 15.10.2023 08:00","22338","22855"
"15.10.2023 08:00 - 15.10.2023 09:00","23718","24340"
"15.10.2023 09:00 - 15.10.2023 10:00","25527","26557"
"15.10.2023 10:00 - 15.10.2023 11:00","26025","27123"
"15.10.2023 11:00 - 15.10.2023 12:00","26097","26970"
"15.10.2023 12:00 - 15.10.2023 13:00","25883","26750"
"15.10.2023 13:00 - 15.10.2023 14:00","24630","25742"
"15.10.2023 14:00 - 15.10.2023 15:00","24447","24992"
"15.10.2023 15:00 - 15.10.2023 16:00","24673","25458"
"15.10.2023 16:00 - 15.10.2023 17:00","25058","25423"
"15.10.2023 17:00 - 15.10.2023 18:00","25952","26152"
"15.10.2023 18:00 - 15.10.2023 19:00","27731","28535"
"15.10.2023 19:00 - 15.10.2023 20:00","30361","30740"
"15.10.2023 20:00 - 15.10.2023 21:00","29573","29727"
"15.10.2023 21:00 - 15.10.2023 22:00","28045","28037"
"15.10.2023 22:00 - 15.10.2023 23:00","26131","25875"
"15.10.2023 23:00 - 16.10.2023 00:00","24076","23989"
"16.10.2023 00:00 - 16.10.2023 01:00","21923","22007"
"16.10.2023 01:00 - 16.10.2023 02:00","20900","20999"
"16.10.2023 02:00 - 16.10.2023 03:00","20510","20525"
"16.10.2023 03:00 - 16.10.2023 04:00","20261","20414"
"16.10.2023 04:00 - 16.10.2023 05:00","21112","20910"
"16.10.2023 05:00 - 16.10.2023 06:00","23074","22801"
"16.10.2023 06:00 - 16.10.2023 07:00","28487","28160"
"16.10.2023 07:00 - 16.10.2023 08:00","33890","33301"
"16.10.2023 08:00 - 16.10.2023 09:00","37682","36822"
"16.10.2023 09:00 - 16.10.2023 10:00","39442","38192"
"16.10.2023 10:00 - 16.10.2023 11:00","39108","37756"
"16.10.2023 11:00 - 16.10.2023 12:00","38318","37373"
"16.10.2023 12:00 - 16.10.2023 13:00","36524","35524"
"16.10.2023 13:00 - 16.10.2023 14:00","36479","35090"
"16.10.2023 14:00 - 16.10.2023 15:00","37725","35499"
"16.10.2023 15:00 - 16.10.2023 16:00","38650","36101"
"16.10.2023 16:00 - 16.10.2023 17:00","38822","36144"
"16.10.2023 17:00 - 16.10.2023 18:00","38094","35542"
"16.10.2023 18:00 - 16.10.2023 19:00","37895","36551"
"16.10.2023 19:00 - 16.10.2023 20:00","39212","37865"
"16.10.2023 20:00 - 16.10.2023 21:00","37133","35760"
"16.10.2023 21:00 - 16.10.2023 22:00","34464","32871"
"16.10.2023 22:00 - 16.10.2023 23:00","31270","29791"
"16.10.2023 23:00 - 17.10.2023 00:00","28693","27348"
"17.10.2023 00:00 - 17.10.2023 01:00","26168","25296"
"17.10.2023 01:00 - 17.10.2023 02:00","25047","23961"
"17.10.2023 02:00 - 17.10.2023 03:00","24260","23370"
"17.10.2023 03:00 - 17.10.2023 04:00","24120","23341"
"17.10.2023 04:00 - 17.10.2023 05:00","23985","23502"
"17.10.2023 05:00 - 17.10.2023 06:00","25499","24942"
"17.10.2023 06:00 - 17.10.2023 07:00","30005","29739"
"17.10.2023 07:00 - 17.10.2023 08:00","34826","34955"
"17.10.2023 08:00 - 17.10.2023 09:00","38456","38135"
"17.10.2023 09:00 - 17.10.2023 10:00","39576","38450"
"17.10.2023 10:00 - 17.10.2023 11:00","39182","37799"
"17.10.2023 11:00 - 17.10.2023 12:00","38582","37759"
"17.10.2023 12:00 - 17.10.2023 13:00","36246","35658"
"17.10.2023 13:00 - 17.10.2023 14:00","35455","35820"
"17.10.2023 14:00 - 17.10.2023 15:00","36431","36546"
"17.10.2023 15:00 - 17.10.2023 16:00","37385","37107"
"17.10.2023 16:00 - 17.10.2023 17:00","37732","37165"
"17.10.2023 17:00 - 17.10.2023 18:00","37376","36166"
"17.10.2023 18:00 - 17.10.2023 19:00","37650","37459"
"17.10.2023 19:00 - 17.10.2023 20:00","39581","38830"
"17.10.2023 20:00 - 17.10.2023 21:00","37523","36767"
"17.10.2023 21:00 - 17.10.2023 22:00","34723","33875"
"17.10.2023 22:00 - 17.10.2023 23:00","31549","30556"
"17.10.2023 23:00 - 18.10.2023 00:00","28934","28026"
"18.10.2023 00:00 - 18.10.2023 01:00","25508","25788"
"18.10.2023 01:00 - 18.10.2023 02:00","24192","24500"
"18.10.2023 02:00 - 18.10.2023 03:00","23591","23784"
"18.10.2023 03:00 - 18.10.2023 04:00","23563","23459"
"18.10.2023 04:00 - 18.10.2023 05:00","23696","23730"
